token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
66506,ADANIENT26JUN252040CE,ADANIENT,26JUN2025,204000.000000,300,OPTSTK,NFO,5.000000
66500,ADANIENT26JUN251920CE,ADANIENT,26JUN2025,192000.000000,300,OPTSTK,NFO,5.000000
64494,ADANIENT29MAY252080CE,ADANIENT,29MAY2025,208000.000000,300,OPTSTK,NFO,5.000000
64497,ADANIENT29MAY252120PE,ADANIENT,29MAY2025,212000.000000,300,OPTSTK,NFO,5.000000
64500,ADANIENT29MAY252200CE,ADANIENT,29MAY2025,220000.000000,300,OPTSTK,NFO,5.000000
64522,ADANIENT29MAY252640CE,ADANIENT,29MAY2025,264000.000000,300,OPTSTK,NFO,5.000000
64523,ADANIENT29MAY252640PE,ADANIENT,29MAY2025,264000.000000,300,OPTSTK,NFO,5.000000
66354,ADANIENT29MAY251900PE,ADANIENT,29MAY2025,190000.000000,300,OPTSTK,NFO,5.000000
66383,ADANIENT29MAY252420PE,ADANIENT,29MAY2025,242000.000000,300,OPTSTK,NFO,5.000000
66398,ADANIENT29MAY252740CE,ADANIENT,29MAY2025,274000.000000,300,OPTSTK,NFO,5.000000
66508,ADANIENT26JUN252080CE,ADANIENT,26JUN2025,208000.000000,300,OPTSTK,NFO,5.000000
66514,ADANIENT26JUN252200CE,ADANIENT,26JUN2025,220000.000000,300,OPTSTK,NFO,5.000000
66516,ADANIENT26JUN252240CE,ADANIENT,26JUN2025,224000.000000,300,OPTSTK,NFO,5.000000
66519,ADANIENT26JUN252280PE,ADANIENT,26JUN2025,228000.000000,300,OPTSTK,NFO,5.000000
66545,ADANIENT26JUN252480CE,ADANIENT,26JUN2025,248000.000000,300,OPTSTK,NFO,5.000000
66576,ADANIENT26JUN252560CE,ADANIENT,26JUN2025,256000.000000,300,OPTSTK,NFO,5.000000
66635,ADANIENT26JUN252640PE,ADANIENT,26JUN2025,264000.000000,300,OPTSTK,NFO,5.000000
66636,ADANIENT26JUN252680CE,ADANIENT,26JUN2025,268000.000000,300,OPTSTK,NFO,5.000000
