order_name,symbol,token,trigger_price,limit_price,transaction_type,quantity,rule_id
gtt_order1,ETERNAL29MAY25235CE,146346,8.35,8.25,SELL,4000,5427086
gtt_sl_order1,ETERNAL29MAY25235CE,146346,7.55,7.5,SELL,4000,5427087
gtt_sl_order2,ETERNAL29MAY25235CE,146346,7.55,7.5,SELL,4000,5427088
gtt_sl_order3,ETERNAL29MAY25235CE,146346,7.55,7.5,SELL,2000,5427089
