token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
146348,ETERNAL29MAY25245CE,ETERNAL,29MAY2025,24500.000000,2000,OPTSTK,NFO,5.000000
146380,ETERNAL26JUN25220CE,ETERNAL,26JUN2025,22000.000000,2000,OPTSTK,NFO,5.000000
146384,ETERNAL26JUN25240CE,ETERNAL,26JUN2025,24000.000000,2000,OPTSTK,NFO,5.000000
53302,ETERNAL31JUL25FUT,ETERNAL,31JUL2025,-1.000000,2425,FUTSTK,NFO,1.000000
146338,ETERNAL29MAY25195CE,ETERNAL,29MAY2025,19500.000000,2000,OPTSTK,NFO,5.000000
146344,ETERNAL29MAY25225CE,ETERNAL,29MAY2025,22500.000000,2000,OPTSTK,NFO,5.000000
146351,ETERNAL29MAY25255PE,ETERNAL,29MAY2025,25500.000000,2000,OPTSTK,NFO,5.000000
146383,ETERNAL26JUN25230PE,ETERNAL,26JUN2025,23000.000000,2000,OPTSTK,NFO,5.000000
146382,ETERNAL26JUN25230CE,ETERNAL,26JUN2025,23000.000000,2000,OPTSTK,NFO,5.000000
57278,ETERNAL26JUN25FUT,ETERNAL,26JUN2025,-1.000000,2000,FUTSTK,NFO,1.000000
57564,ETERNAL29MAY25FUT,ETERNAL,29MAY2025,-1.000000,2000,FUTSTK,NFO,1.000000
90075,ETERNAL26JUN25195CE,ETERNAL,26JUN2025,19500.000000,2000,OPTSTK,NFO,5.000000
90084,ETERNAL26JUN25225PE,ETERNAL,26JUN2025,22500.000000,2000,OPTSTK,NFO,5.000000
90078,ETERNAL26JUN25205PE,ETERNAL,26JUN2025,20500.000000,2000,OPTSTK,NFO,5.000000
90103,ETERNAL26JUN25255CE,ETERNAL,26JUN2025,25500.000000,2000,OPTSTK,NFO,5.000000
90104,ETERNAL26JUN25255PE,ETERNAL,26JUN2025,25500.000000,2000,OPTSTK,NFO,5.000000
90123,ETERNAL31JUL25180CE,ETERNAL,31JUL2025,18000.000000,2425,OPTSTK,NFO,5.000000
90144,ETERNAL31JUL25210CE,ETERNAL,31JUL2025,21000.000000,2425,OPTSTK,NFO,5.000000
90145,ETERNAL31JUL25210PE,ETERNAL,31JUL2025,21000.000000,2425,OPTSTK,NFO,5.000000
90149,ETERNAL31JUL25230PE,ETERNAL,31JUL2025,23000.000000,2425,OPTSTK,NFO,5.000000
90150,ETERNAL31JUL25240CE,ETERNAL,31JUL2025,24000.000000,2425,OPTSTK,NFO,5.000000
90154,ETERNAL31JUL25260CE,ETERNAL,31JUL2025,26000.000000,2425,OPTSTK,NFO,5.000000
90152,ETERNAL31JUL25250CE,ETERNAL,31JUL2025,25000.000000,2425,OPTSTK,NFO,5.000000
90147,ETERNAL31JUL25220PE,ETERNAL,31JUL2025,22000.000000,2425,OPTSTK,NFO,5.000000
90157,ETERNAL31JUL25270PE,ETERNAL,31JUL2025,27000.000000,2425,OPTSTK,NFO,5.000000
90106,ETERNAL26JUN25265PE,ETERNAL,26JUN2025,26500.000000,2000,OPTSTK,NFO,5.000000
90153,ETERNAL31JUL25250PE,ETERNAL,31JUL2025,25000.000000,2425,OPTSTK,NFO,5.000000
90124,ETERNAL31JUL25180PE,ETERNAL,31JUL2025,18000.000000,2425,OPTSTK,NFO,5.000000
90083,ETERNAL26JUN25225CE,ETERNAL,26JUN2025,22500.000000,2000,OPTSTK,NFO,5.000000
90087,ETERNAL26JUN25245CE,ETERNAL,26JUN2025,24500.000000,2000,OPTSTK,NFO,5.000000
90125,ETERNAL31JUL25190CE,ETERNAL,31JUL2025,19000.000000,2425,OPTSTK,NFO,5.000000
90077,ETERNAL26JUN25205CE,ETERNAL,26JUN2025,20500.000000,2000,OPTSTK,NFO,5.000000
